name,LION,RULE1,RULE2
ergosterols and c24-methyl derivatives [ST0103],LION:0000564,,
stigmasterols and c24-ethyl derivatives [ST0104],LION:0000565,,
c24-propyl sterols and derivatives [ST0105],LION:0000566,,
gorgosterols and derivatives [ST0106],LION:0000567,,
furostanols and derivatives [ST0107],LION:0000568,,
spirostanols and derivatives [ST0108],LION:0000569,,
furospirostanols and derivatives [ST0109],LION:0000570,,
cycloartanols and derivatives [ST0110],LION:0000571,,
calysterols and cyclopropyl sidechain derivatives [ST0111],LION:0000572,,
cardanolides and derivatives [ST0112],LION:0000573,,
bufanolides and derivatives [ST0113],LION:0000574,,
brassinolides and derivatives [ST0114],LION:0000575,,
solanidines and alkaloid derivatives [ST0115],LION:0000576,,
withanolides and derivatives [ST0116],LION:0000577,,
oxysterol,LION:0000600,,
diacylglycerols [GL0201],LION:0000607,DG,D
"1-alkyl,2-acylglycerols [GL0202]",LION:0000608,DG,O
"1-acyl,2-alkylglycerols [GL0207]",LION:0000609,,
dialkylglycerols [GL0203],LION:0000610,,
1z-alkenylacylglycerols [GL0204],LION:0000611,DG,P
di-glycerol tetraethers [GL0205],LION:0000612,,
di-glycerol tetraether glycans [GL0206],LION:0000613,,
monoacylglycerols [GL0101],LION:0000619,MG,D
monoalkylglycerols [GL0102],LION:0000620,MG,O
triacylglycerols [GL0301],LION:0000622,TG,D
alkyldiacylglycerols [GL0302],LION:0000623,TG,O
dialkylmonoacylglycerols [GL0303],LION:0000624,,
1z-alkenyldiacylglycerols [GL0304],LION:0000625,TG,P
estolides [GL0305],LION:0000626,,
diacylglycerophosphoglycerophosphodiradylglycerols [GP1201],LION:0000728,CL,D
diacylglycerophosphoglycerophosphomonoradylglycerols [GP1202],LION:0000940,LCL,D
"1-alkyl,2-acylglycerophosphoglycerophosphodiradylglycerols [GP1203]",LION:0000941,CL,O
"1-alkyl,2-acylglycerophosphoglycerophosphomonoradylglycerols [GP1204]",LION:0000942,LCL,O
dialkylglycerophosphoglycerophosphodiradylglycerols [GP1212],LION:0000945,,
dialkylglycerophosphoglycerophosphomonoradylglycerols [GP1213],LION:0000946,,
