,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
BMP(34:1),1.019866084,0.811705682,1.011122129,0.946736159,0.404109015,0.384372553
BMP(36:5),0.031277687,0.033185838,0.037775532,0.100202023,0.105606409,0.109813965
BMP(36:4),0.158853811,0.152388241,0.191139825,0.172668277,0.193565806,0.18563773
BMP(36:3),0.637769689,0.621648308,0.797608886,0.245070839,0.263997195,0.237492191
BMP(36:2),3.258535913,3.052984707,3.988304146,1.301917968,1.393550649,1.219474135
BMP(36:1),0.07389548,0.109906146,0.116561931,0.052349021,0.071873479,0.077349661
BMP(38:7),0.168796779,0.215055723,0.2482412,0.06887849,0.067813162,0.064189655
BMP(38:6),0.279487013,0.340935687,0.393192002,0.271706068,0.270656646,0.268199401
BMP(38:5),0.145262243,0.1746645,0.20403752,1.321820164,1.308839153,1.338612027
BMP(38:4),0.103606674,0.097339345,0.101652328,0.136537477,0.133317356,0.140702874
BMP(38:4),0.159605943,0.183662304,0.203441865,0.148650712,0.150961384,0.166279267
BMP(38:3),0.129412944,0.141468836,0.166719162,0.035360265,0.039965256,0.030871552
BMP(38:2),0.139626899,0.149648465,0.181159116,0.058800034,0.060212732,0.053742403
BMP(40:9),0.025705736,0.031962583,0.036093948,0.039759032,0.038927256,0.024080083
BMP(40:8),0.213953674,0.262764832,0.309103487,3.022514136,3.287380865,2.014729173
BMP(40:7),2.076221054,2.647830643,2.980289519,0.356238495,0.727888144,0.70373915
BMP(40:6),0.20684945,0.270652292,0.184689932,0.140335198,0.00796629,0.085160502
BMP(40:5),0.044435005,0.061278385,0.089501839,0.354781081,0.361653491,0.364719827
BMP(42:11),0.027111655,0.029992741,0.035942985,0.004082854,0.003899196,0.000117868
BMP(42:10),0.111990525,0.111322063,0.151700454,1.248652778,1.258348061,0.982960129
BMP(42:9),0.086596564,0.094986196,0.118476786,0.025947429,0.234926831,0.140683592
BMP(42:8),0.072466489,0.080952647,0.10206901,1.820118467,1.818343552,1.406961886
BMP(42:7),0.070441129,0.085387319,0.094544196,0.06397777,0.041953776,0.037374428
BMP(44:12),0.769520691,0.146910092,0.946907772,0.221524245,0.225936667,0.170422898
BMP(44:11),0.212769147,0.29078645,0.288845142,0.045329119,0.012972589,0.031218968
BMP(44:10),0.065883121,0.073231151,0.102978748,0.334159568,0.345574828,0.23525715
BMP(44:10),0.042133171,0.031617203,0.05906785,0.334228191,0.35268905,0.24774551
BMP(44:8),0.001105302,0.000657048,0.004001912,0.214820497,0.218184818,0.169132736
BMP(46:9),0.02926559,0.026900245,0.033428627,0.046583877,0.031199913,0.029210023
PC(16:1/0:0),0.014716318,0.002735527,0.005004046,0.009159984,0.011260769,0.023059382
PC(16:0/0:0),0.106734252,0.021211157,0.048957876,0.074384984,0.103408937,0.195351717
PC(18:1/0:0),0.076288295,0.012518926,0.024296693,0.03338942,0.048103374,0.081252906
PC(18:0/0:0),0.040278169,0.009580968,0.013690061,0.021666703,0.029460226,0.039396489
PC(20:4/0:0),0.002875011,0.0000931,0.000303489,0.026607555,0.04376058,0.079235483
PC(22:4/0:0),0.00617076,0.00617076,0.00617076,0.01234152,0.022191968,0.035847752
