,FFA_AA,FFA_AA,FFA_AA,FFA_BSA,FFA_BSA,FFA_BSA,FFA_LA,FFA_LA,FFA_LA,FFA_PA,FFA_PA,FFA_PA
,#10,#11,#12,#1,#2,#3,#7,#8,#9,#4,#5,#6
HexCer(d18:1/22:0),0.212075096,0.041702349,0.173024854,0.384950684,0.330018517,0.372270482,0.056878657,0.15123856,0.176340751,0.606249937,0.642168514,0.592589096
HexCer(d18:1/24:4),0.019485755,0.002665609,0.016328182,0.000292162,0.00012654,9.80E-05,7.02E-05,0.000130298,0.000197847,0.000960646,0.000435924,0.000827558
HexCer(d18:1/24:3),0.005628282,0.000293959,0.004635782,0.004876421,0.004956285,0.00497162,0.007400404,0.025000879,0.029351552,0.004475822,0.005790649,0.004652399
HexCer(d18:1/24:2),0.04822561,0.007996261,0.040105475,0.093997223,0.076308556,0.089731158,0.107383815,0.29944945,0.327954729,0.107698521,0.112268706,0.100549341
HexCer(d18:1/24:1),0.333212936,0.056348378,0.266489277,0.726691709,0.619558857,0.699351426,0.119400424,0.340797385,0.204358821,0.623238729,0.639003805,0.6028935
HexCer(d18:1/24:0),0.171173728,0.034784298,0.076332811,0.520651154,0.595467735,0.609687883,0.065049351,0.182861663,0.193449839,0.585374552,0.637538825,0.607048184
PI(O-14:3/16:0),0.010470859,0.007552845,0.012238779,0.03535949,0.036344593,0.038958829,0.027252387,0.029608977,0.026363838,0.073247432,0.06824704,0.054949516
PI(14:1/16:0),0.005843145,0.003670629,0.004787104,0.007376315,0.007984475,0.008386632,0.001275689,0.002365879,0.002508821,0.003308893,0.002376418,0.003748453
PI(14:0/16:0),0.001266127,0.001777414,0.003992374,0.004939696,0.005261795,0.005276203,0.001256234,0.000792106,0.000753303,0.02205718,0.021901336,0.023671886
PI(O-14:2/18:1),0.031620094,0.04559924,0.039815703,0.057830709,0.032333062,0.050518518,0.052218089,0.059967769,0.048329499,0.015114866,0.015348572,0.014376997
PI(O-14:0/18:0),0.001392776,0.001855719,0.00537425,0.002893869,0.003424227,0.002703352,0.002297962,0.000361226,0.000952829,0.012313834,0.011829572,0.009572556
PI(32:3),0.028784338,0.030274513,0.033868898,0.000805302,0.000636277,0.000418223,0.001370848,0.00092596,0.001140283,0.000394725,0,0
PI(16:1/16:1),0.015200465,0.01782261,0.026164831,0.0121873,0.013346752,0.013383637,0.024767141,0.021505728,0.021973995,0.01040358,0.007502242,0.012161206
PI(16:0/16:1),0.049172787,0.052528643,0.057311412,0.135591618,0.134600685,0.146812348,0.022072604,0.016754437,0.01682663,0.682709558,0.716916943,0.700258848
PI(16:0/16:0),0.012167024,0.009543719,0.011952177,0.049512714,0.052160093,0.051598358,0.008776461,0.007160291,0.00617662,4.054147859,4.133456569,3.428181807
PI(O-16:0/18:2),0.005200926,0.003295829,0.003793665,0.007312156,0.008862449,0.008732721,0.013781817,0.013087283,0.013977295,0.002715826,0.005516417,0.003668074
PI(16:6/18:2),0.001173752,0.001692408,0.00119323,0.001565574,0.001618594,0.001500425,0.001189535,0.001242285,0.000577077,0.115993165,0.109834114,0.137221817
PI(O-16:0/18:1),0.00792406,0.008383242,0.008377042,0.048522563,0.048189234,0.055315253,0.005762071,0.005812601,0.006740883,0.036809221,0.036456424,0.042642324
PI(16:0/18:3),0.016649659,0.021932984,0.026172278,0.008486242,0.007379499,0.008177886,0.00629555,0.002320422,0.000587888,0.009887293,0.009658133,0.00727241
PI(16:0/18:2),0.109501983,0.123701501,0.130277029,0.322909615,0.329710713,0.334579796,0.868288479,0.789655757,0.796849397,0.238963122,0.245046269,0.268895885
PI(16:0/18:1),0.216634257,0.231941418,0.250840066,1.455904694,1.506567141,1.575924126,0.001692729,0.001825219,0.003071373,3.905038162,4.018294445,4.248303383
PI(16:0/18:1),0.247957649,0.261998197,0.291828019,1.563053663,1.602279478,1.714562997,0.171152467,0.162395189,0.156072148,4.001965776,4.057740561,4.385132038
PI(16:0/18:0),0.004314825,0.007834197,0.008898508,0.058252758,0.03373777,0.061473616,0.003156295,0.003870782,0.002235468,0.080781129,0.439063361,0.274973749
