,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42
GPA(36:2),0.8409515,1.75968,2.2300569,2.3788876,2.302082,1.953301,1.488232,0.7548284,1.4235431,1.1823255,0.5895751,0.6459621,0.901411,1.1548877,0.4901067,1.6534327,0.771254,1.3191793,0.6878217,1.0519968,0.8969256,1.2292212,1.1369751,0.6923276,1.8644519,2.1611047,1.6264144,1.8608338,1.9683562,2.0640465,4.1676949,3.9038418,3.8570387,4.9989692,3.6322329,5.7450935,0.8751572,0.5389335,0.5782414,0.5777864,0.4992674,0.9600814
GPA(36:1),1.651869,2.1996,2.230057,3.07856,2.708332,2.038227,1.41382,2.217308,1.587798,3.121339,2.427662,1.761715,2.431078,2.474759,1.960427,5.511442,3.713445,3.879939,1.762543,2.805325,2.369237,4.225448,3.617648,3.846265,2.961188,2.791427,2.865587,4.015483,3.936712,3.230681,2.527946,3.086759,2.770549,4.564276,4.208075,3.267522,1.544395,1.288754,1.794542,2.781934,2.360173,2.007443
GPA(36:0),4.66E-01,7.33E-01,8.50E-01,9.66E-01,7.31E-01,5.35E-01,2.98E-01,8.02E-01,4.87E-01,1.18E+00,6.94E-01,2.58E-01,4.64E-01,6.05E-01,4.20E-01,9.37E-01,7.14E-01,5.17E-01,4.94E-01,8.94E-01,6.43E-01,7.30E-01,6.72E-01,1.06E-05,7.02E-01,6.30E-01,3.95E-01,6.17E-01,2.59E-01,4.04E-01,3.76E-04,2.50E-04,5.43E-01,2.99E-04,2.44E-04,1.97E-04,4.02E-01,8.67E-01,5.88E-01,8.02E-01,5.45E-01,3.93E-01
GPA(38:5),8.56E-01,9.53E-01,1.81E+00,1.68E+00,1.90E+00,1.27E+00,4.84E-01,6.13E-01,5.26E-01,4.73E-01,4.16E-01,4.93E-01,1.50E-05,2.47E-01,2.57E-01,1.52E-05,3.14E-01,3.88E-01,1.96E-01,3.86E-01,2.88E-01,3.27E-01,2.41E-01,1.06E-05,1.32E+00,1.17E+00,7.74E-01,9.11E-01,9.84E-01,9.87E-01,3.07E+00,3.04E+00,3.80E+00,2.88E+00,3.14E+00,3.95E+00,5.66E-05,7.03E-01,4.98E-01,3.96E-01,3.99E-01,3.75E-01
GPA(38:4),3.45E-01,7.48E-01,7.67E-05,7.70E-05,7.45E-05,4.67E-05,3.65E-01,3.02E-01,2.90E-01,2.36E-01,2.64E-01,3.23E-05,1.50E-05,6.60E-01,4.90E-01,9.09E-01,5.71E-01,2.85E-01,4.30E-01,6.49E-01,5.08E-01,6.15E-01,9.47E-06,1.06E-05,9.65E-01,8.64E-01,6.51E-01,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.87E-01,4.98E-01,2.46E-01,2.27E-01,4.19E-01
GPA(38:3),4.81E-01,7.04E-01,1.02E+00,9.52E-01,7.31E-01,4.67E-05,2.16E-01,1.18E+00,4.22E-01,1.56E+00,8.32E-01,3.23E-05,7.38E-01,1.07E+00,6.77E-01,1.65E+00,8.86E-01,8.54E-01,6.66E-01,1.65E+00,1.13E+00,9.41E-01,1.15E+00,9.42E-01,4.17E-01,1.26E+00,6.27E-01,1.27E+00,5.28E-01,4.94E-05,1.71E+00,2.50E-04,1.96E+00,2.99E-04,1.11E+00,1.97E-04,6.07E-01,1.05E+00,9.27E-01,9.74E-01,6.17E-01,6.46E-01
GPA(38:2),8.26E-05,4.69E-01,7.67E-05,7.70E-05,7.45E-05,4.67E-05,3.50E-01,4.15E-01,3.56E-01,5.20E-01,1.32E-01,2.99E-01,1.50E-05,1.32E-01,2.22E-01,1.52E-05,2.57E-01,4.14E-01,1.40E-01,4.21E-02,6.09E-02,5.38E-01,4.48E-01,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.40E-01,1.30E-01,2.89E-01,2.36E-01,4.45E-01
GPA(38:1),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.55E-01,3.01E-05,3.45E-01,2.57E-01,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,3.14E-01,2.38E-01,1.57E-01,3.33E-01,2.20E-01,2.88E-01,2.58E-01,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,2.09E-01,2.46E-01,2.72E-01,2.09E-01
GPA(40:6),8.26E-05,1.61E+00,1.67E+00,7.70E-05,7.45E-05,2.46E+00,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.56E+00,1.17E+00,1.50E-05,1.10E+00,1.21E+00,2.62E+00,2.14E+00,2.17E+00,8.81E-01,1.26E+00,1.20E+00,1.56E+00,1.22E+00,1.06E-05,2.08E+00,2.07E+00,1.78E+00,2.15E+00,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,1.29E+00,9.97E-01,5.88E-05,1.27E+00,1.40E+00
GPA(40:4),8.26E-05,1.22E+00,7.67E-05,7.70E-05,7.45E-05,4.67E-05,6.40E-01,8.96E-01,6.57E-01,1.18E+00,1.21E+00,8.81E-01,1.50E-05,8.25E-01,5.37E-01,1.98E+00,1.09E+00,1.22E+00,6.45E-01,9.99E-01,7.28E-01,1.27E+00,1.12E+00,1.06E-05,6.03E-05,1.35E+00,4.26E-05,1.47E+00,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.75E+00,2.94E+00,5.66E-05,8.32E-01,8.18E-01,1.28E+00,8.99E-01,8.03E-01
