"FA_summed","prod_fraction","nr_of_FAs","FAs"
"50:5",0.00146641146592771,3,"14:0|16:0|20:5"
"58:4",0.00135778836708475,3,"18:0|20:0|20:4"
"60:7",0.00122200953809623,3,"18:1|20:0|22:6"
"56:10",0.00122200953177991,3,"16:1|20:4|20:5"
"60:13",0.00122200951914726,3,"20:4|20:4|20:5"
"62:15",0.0010998085684958,3,"20:4|20:5|22:6"
"58:2",0.00108623079472897,3,"18:1|18:1|22:0"
"58:3",0.00108623079472897,3,"18:1|18:1|22:1"
"56:0",0.00108623078911446,3,"16:0|18:0|22:0"
"58:1",0.00108623078911446,3,"18:0|18:1|22:0"
"60:5",0.00108623078911446,3,"18:1|20:4|22:0"
"60:8",0.00108623078911446,3,"18:1|20:4|22:3"
"60:1",0.0010862305701486,3,"16:0|18:1|26:0"
"62:9",0.00101834128584077,3,"20:0|20:4|22:5"
"64:16",0.000824856434898885,3,"20:5|22:5|22:6"
"62:6",0.00081467310025761,3,"18:1|22:0|22:5"
"62:7",0.00081467310025761,3,"18:1|22:1|22:5"
"62:8",0.00081467310025761,3,"18:1|22:2|22:5"
"54:8",0.000814673031479871,3,"14:0|20:4|20:4"
"54:9",0.00073320572917406,3,"14:0|20:4|20:5"
"66:16",0.000687380368732061,3,"22:5|22:5|22:6"
"58:12",0.00054990428993259,3,"16:1|20:5|22:6"
"60:14",0.000549904284247899,3,"20:4|20:5|20:5"
"60:4",0.000543115391749975,3,"18:0|20:4|22:0"
"58:0",0.0005431152850743,3,"16:0|16:0|26:0"
"60:2",0.0005431152850743,3,"18:1|18:1|24:0"
"62:2",0.0005431152850743,3,"18:1|18:1|26:0"
"60:0",0.000543115282267046,3,"16:0|18:0|26:0"
"62:4",0.000543115282267046,3,"16:0|20:4|26:0"
"62:1",0.000543115282267046,3,"18:0|18:1|26:0"
"62:5",0.000543115282267046,3,"18:1|20:4|24:0"
"64:5",0.000543115282267046,3,"18:1|20:4|26:0"
"64:10",0.000543115282267046,3,"18:1|20:4|26:5"
"64:11",0.000543115282267046,3,"18:1|20:4|26:6"
"44:0",0.000488803833204922,3,"14:0|14:0|16:0"
"66:17",0.000412428217449443,3,"22:5|22:6|22:6"
"48:4",0.000408422756943965,3,"12:0|16:0|20:4"
"64:9",0.000407336548023364,3,"20:4|22:0|22:5"
"64:12",0.000407336548023364,3,"20:4|22:3|22:5"
"64:13",0.000407336548023364,3,"20:4|22:4|22:5"
"48:3",0.0004073365241617,3,"14:0|16:1|18:2"
"64:6",0.000407336465911166,3,"18:1|22:5|24:0"
"66:6",0.000407336465911166,3,"18:1|22:5|26:0"
"66:11",0.000407336465911166,3,"18:1|22:5|26:5"
"66:12",0.000407336465911166,3,"18:1|22:5|26:6"
"66:15",0.000381877986137991,3,"22:5|22:5|22:5"
"50:6",0.000366602868376824,3,"14:0|16:1|20:5"
"52:7",0.000366602868376824,3,"14:0|16:1|22:6"
"52:7",0.000366602868376824,3,"14:0|18:2|20:5"
"56:11",0.000329942578507306,3,"14:0|20:5|22:6"
"60:3",0.00027155770008587,3,"18:1|20:0|22:2"
"62:3",0.000271557643940777,3,"18:1|18:2|26:0"
"64:4",0.000271557639729896,3,"18:0|20:4|26:0"
"62:16",0.000247456928195789,3,"20:5|20:5|22:6"
"64:17",0.000247456928195789,3,"20:5|22:6|22:6"
"64:7",0.000244401877300896,3,"18:1|22:6|24:0"
"66:7",0.000244401877300896,3,"18:1|22:6|26:0"
"66:13",0.000244401877300896,3,"18:1|22:6|26:6"
"44:1",0.000204211380583038,3,"12:0|16:0|16:1"
"46:2",0.000204211380583038,3,"12:0|16:0|18:2"
"46:2",0.000204211380583038,3,"12:0|16:1|18:1"
"66:5",0.000203668231902863,3,"18:0|22:5|26:0"
"66:10",0.000203668231902863,3,"18:0|22:5|26:5"
"66:9",0.000203668231902863,3,"20:4|22:5|24:0"
"66:14",0.000203668231902863,3,"20:4|22:5|24:5"
"68:9",0.000203668231902863,3,"20:4|22:5|26:0"
"68:14",0.000203668231902863,3,"20:4|22:5|26:5"
"68:15",0.000203668231902863,3,"20:4|22:5|26:6"
"48:5",0.00018379024083589,3,"12:0|16:0|20:5"
"54:10",0.000164971289253653,3,"14:0|20:5|20:5"
"62:0",0.000135778821970389,3,"16:0|20:0|26:0"
"64:1",0.000135778821970389,3,"18:1|20:0|26:0"
"64:8",0.000135778819864948,3,"20:4|20:4|24:0"
"66:8",0.000135778819864948,3,"20:4|20:4|26:0"
"42:0",0.000122526830038667,3,"12:0|14:0|16:0"
"68:10",0.000122200938018816,3,"20:4|22:6|26:0"
"68:16",0.000122200938018816,3,"20:4|22:6|26:6"
"52:8",0.000102105688708227,3,"12:0|20:4|20:4"
"52:9",9.18951199429573e-05,3,"12:0|20:4|20:5"
"68:11",9.16507044615602e-05,3,"22:5|22:6|24:0"
"68:17",9.16507044615602e-05,3,"22:5|22:6|24:6"
"70:11",9.16507044615602e-05,3,"22:5|22:6|26:0"
"70:16",9.16507044615602e-05,3,"22:5|22:6|26:5"
"70:17",9.16507044615602e-05,3,"22:5|22:6|26:6"
"60:15",8.24856427319298e-05,3,"20:5|20:5|20:5"
"66:18",8.24856427319298e-05,3,"22:6|22:6|22:6"
"70:10",7.63755877531137e-05,3,"22:5|22:5|26:0"
"70:15",7.63755877531137e-05,3,"22:5|22:5|26:5"
"64:0",6.78894106342875e-05,3,"18:0|20:0|26:0"
"66:4",6.78894106342875e-05,3,"20:0|20:4|26:0"
"46:4",6.12634147026752e-05,3,"12:0|14:0|20:4"
"58:13",5.49904335410115e-05,3,"18:3|20:5|20:5"
"64:2",5.43115332797623e-05,3,"16:0|22:2|26:0"
"64:3",5.43115332797623e-05,3,"16:0|22:3|26:0"
"64:2",5.43115332797623e-05,3,"18:1|20:1|26:0"
"66:1",5.43115332797623e-05,3,"18:1|22:0|26:0"
"64:2",5.43115332797623e-05,3,"18:1|22:1|24:0"
"66:2",5.43115332797623e-05,3,"18:1|22:1|26:0"
"64:3",5.43115332797623e-05,3,"18:1|22:2|24:0"
"66:3",5.43115332797623e-05,3,"18:1|22:2|26:0"
"46:3",5.10528454096414e-05,3,"12:0|16:1|18:2"
"68:5",5.09170585020758e-05,3,"20:0|22:5|26:0"
"48:6",4.59475604464662e-05,3,"12:0|16:1|20:5"
"50:7",4.59475604464662e-05,3,"12:0|16:1|22:6"
"50:7",4.59475604464662e-05,3,"12:0|18:2|20:5"
"54:11",4.13528040218295e-05,3,"12:0|20:5|22:6"
"42:1",3.0631707667996e-05,3,"12:0|14:0|16:1"
"44:2",3.0631707667996e-05,3,"12:0|14:0|18:2"
"68:6",3.05502348205201e-05,3,"20:0|22:6|26:0"
"68:12",3.05502348205201e-05,3,"20:0|22:6|26:6"
"46:5",2.75685366478697e-05,3,"12:0|14:0|20:5"
"68:18",2.74952110858152e-05,3,"22:6|22:6|24:6"
"70:12",2.74952110858152e-05,3,"22:6|22:6|26:0"
"70:18",2.74952110858152e-05,3,"22:6|22:6|26:6"
"66:0",2.71557664995184e-05,3,"18:0|22:0|26:0"
"68:4",2.71557664995184e-05,3,"20:4|22:0|26:0"
"68:7",2.71557664995184e-05,3,"20:4|22:3|26:0"
"68:13",2.71557664995184e-05,3,"20:4|22:3|26:6"
"68:8",2.71557664995184e-05,3,"20:4|22:4|26:0"
"68:13",2.71557664995184e-05,3,"20:4|22:4|26:5"
"68:1",2.71557610253726e-05,3,"18:1|24:0|26:0"
"70:6",2.71557610253726e-05,3,"18:1|26:0|26:5"
"70:7",2.71557610253726e-05,3,"18:1|26:0|26:6"
"52:10",2.06764020109148e-05,3,"12:0|20:5|20:5"
"56:12",2.06764020109148e-05,3,"12:0|22:6|22:6"
"70:5",2.03668250851829e-05,3,"22:0|22:5|26:0"
"70:13",2.03668250851829e-05,3,"22:2|22:5|26:6"
"70:8",2.03668250851829e-05,3,"22:3|22:5|26:0"
"70:13",2.03668250851829e-05,3,"22:3|22:5|26:5"
"70:14",2.03668250851829e-05,3,"22:3|22:5|26:6"
"70:9",2.03668250851829e-05,3,"22:4|22:5|26:0"
"70:14",2.03668250851829e-05,3,"22:4|22:5|26:5"
"68:0",1.35778805126863e-05,3,"16:0|26:0|26:0"
"70:1",1.35778805126863e-05,3,"18:1|26:0|26:0"
"70:4",1.35778804425049e-05,3,"20:4|24:0|26:0"
"72:9",1.35778804425049e-05,3,"20:4|26:0|26:5"
"72:10",1.35778804425049e-05,3,"20:4|26:0|26:6"
"72:15",1.35778804425049e-05,3,"20:4|26:5|26:6"
"72:5",1.01834104371507e-05,3,"22:5|24:0|26:0"
"72:11",1.01834104371507e-05,3,"22:5|24:0|26:6"
"72:16",1.01834104371507e-05,3,"22:5|24:5|26:6"
"72:11",1.01834104371507e-05,3,"22:5|24:6|26:0"
"72:16",1.01834104371507e-05,3,"22:5|24:6|26:5"
"72:17",1.01834104371507e-05,3,"22:5|24:6|26:6"
"74:10",1.01834104371507e-05,3,"22:5|26:0|26:5"
"74:11",1.01834104371507e-05,3,"22:5|26:0|26:6"
"74:16",1.01834104371507e-05,3,"22:5|26:5|26:6"
"50:8",9.18951284927323e-06,3,"12:0|18:3|20:5"
"40:0",9.18951242706212e-06,3,"12:0|14:0|14:0"
"68:2",6.78894169506097e-06,3,"20:0|22:2|26:0"
"68:3",6.78894169506097e-06,3,"20:0|22:3|26:0"
"70:0",6.78894022125247e-06,3,"18:0|26:0|26:0"
"72:4",6.78894022125247e-06,3,"20:4|26:0|26:0"
"72:14",6.78894022125247e-06,3,"20:4|26:5|26:5"
"44:3",6.12634204025254e-06,3,"12:0|14:0|18:3"
"72:6",6.11004620614536e-06,3,"22:6|24:0|26:0"
"72:12",6.11004620614536e-06,3,"22:6|24:0|26:6"
"72:12",6.11004620614536e-06,3,"22:6|24:6|26:0"
"72:18",6.11004620614536e-06,3,"22:6|24:6|26:6"
"74:12",6.11004620614536e-06,3,"22:6|26:0|26:6"
"74:17",6.11004620614536e-06,3,"22:6|26:5|26:6"
"74:5",5.09170521857536e-06,3,"22:5|26:0|26:0"
"74:15",5.09170521857536e-06,3,"22:5|26:5|26:5"
"44:4",3.83917406684706e-06,3,"12:0|12:0|20:4"
"70:2",3.39447014571691e-06,3,"18:2|26:0|26:0"
"74:6",3.05502310307268e-06,3,"22:6|26:0|26:0"
"74:18",3.05502310307268e-06,3,"22:6|26:6|26:6"
"70:3",2.71557690260475e-06,3,"22:0|22:3|26:0"
"70:3",2.71557690260475e-06,3,"22:1|22:2|26:0"
"40:1",1.91958705326745e-06,3,"12:0|12:0|16:1"
"42:2",1.91958705326745e-06,3,"12:0|12:0|18:2"
"44:5",1.72762833206557e-06,3,"12:0|12:0|20:5"
"46:6",1.72762833206557e-06,3,"12:0|12:0|22:6"
"72:0",1.69723507285845e-06,3,"20:0|26:0|26:0"
"72:7",1.35778817057692e-06,3,"20:1|26:0|26:6"
"72:8",1.35778817057692e-06,3,"20:3|26:0|26:5"
"72:1",1.35778817057692e-06,3,"22:1|24:0|26:0"
"72:7",1.35778817057692e-06,3,"22:1|24:0|26:6"
"72:7",1.35778817057692e-06,3,"22:1|24:6|26:0"
"72:13",1.35778817057692e-06,3,"22:1|24:6|26:6"
"74:7",1.35778817057692e-06,3,"22:1|26:0|26:6"
"72:2",1.35778817057692e-06,3,"22:2|24:0|26:0"
"72:7",1.35778817057692e-06,3,"22:2|24:0|26:5"
"72:8",1.35778817057692e-06,3,"22:2|24:0|26:6"
"72:7",1.35778817057692e-06,3,"22:2|24:5|26:0"
"72:13",1.35778817057692e-06,3,"22:2|24:5|26:6"
"72:8",1.35778817057692e-06,3,"22:2|24:6|26:0"
"72:13",1.35778817057692e-06,3,"22:2|24:6|26:5"
"74:7",1.35778817057692e-06,3,"22:2|26:0|26:5"
"74:8",1.35778817057692e-06,3,"22:2|26:0|26:6"
"74:13",1.35778817057692e-06,3,"22:2|26:5|26:6"
"72:3",1.35778817057692e-06,3,"22:3|24:0|26:0"
"72:8",1.35778817057692e-06,3,"22:3|24:0|26:5"
"72:8",1.35778817057692e-06,3,"22:3|24:5|26:0"
"72:13",1.35778817057692e-06,3,"22:3|24:5|26:5"
"74:8",1.35778817057692e-06,3,"22:3|26:0|26:5"
"74:9",1.35778817057692e-06,3,"22:3|26:0|26:6"
"74:14",1.35778817057692e-06,3,"22:3|26:5|26:6"
"74:9",1.35778817057692e-06,3,"22:4|26:0|26:5"
"38:0",1.15175224783561e-06,3,"12:0|12:0|14:0"
"74:0",6.78894085288461e-07,3,"22:0|26:0|26:0"
"74:1",6.78894085288461e-07,3,"22:1|26:0|26:0"
"74:2",6.78894085288461e-07,3,"22:2|26:0|26:0"
"74:3",6.78894085288461e-07,3,"22:3|26:0|26:0"
"74:4",6.78894085288461e-07,3,"22:4|26:0|26:0"
"76:5",6.78893944925763e-07,3,"24:0|26:0|26:5"
"76:6",6.78893944925763e-07,3,"24:0|26:0|26:6"
"76:11",6.78893944925763e-07,3,"24:0|26:5|26:6"
"76:10",6.78893944925763e-07,3,"24:5|26:0|26:5"
"76:11",6.78893944925763e-07,3,"24:5|26:0|26:6"
"76:16",6.78893944925763e-07,3,"24:5|26:5|26:6"
"76:11",6.78893944925763e-07,3,"24:6|26:0|26:5"
"76:12",6.78893944925763e-07,3,"24:6|26:0|26:6"
"76:17",6.78893944925763e-07,3,"24:6|26:5|26:6"
"78:11",6.78893944925763e-07,3,"26:0|26:5|26:6"
"42:3",3.83917442403767e-07,3,"12:0|12:0|18:3"
"76:0",3.39446972462881e-07,3,"24:0|26:0|26:0"
"76:15",3.39446972462881e-07,3,"24:5|26:5|26:5"
"76:18",3.39446972462881e-07,3,"24:6|26:6|26:6"
"78:5",3.39446972462881e-07,3,"26:0|26:0|26:5"
"78:6",3.39446972462881e-07,3,"26:0|26:0|26:6"
"78:10",3.39446972462881e-07,3,"26:0|26:5|26:5"
"78:12",3.39446972462881e-07,3,"26:0|26:6|26:6"
"78:16",3.39446972462881e-07,3,"26:5|26:5|26:6"
"78:17",3.39446972462881e-07,3,"26:5|26:6|26:6"
"78:0",1.1314899082096e-07,3,"26:0|26:0|26:0"
"78:15",1.1314899082096e-07,3,"26:5|26:5|26:5"
"78:18",1.1314899082096e-07,3,"26:6|26:6|26:6"
"36:0",4.81176504529185e-08,3,"12:0|12:0|12:0"
"76:1",0,3,"24:0|26:0|26:1"
"76:2",0,3,"24:0|26:0|26:2"
"76:3",0,3,"24:0|26:0|26:3"
"76:4",0,3,"24:0|26:0|26:4"
"76:2",0,3,"24:0|26:1|26:1"
"76:3",0,3,"24:0|26:1|26:2"
"76:4",0,3,"24:0|26:1|26:3"
"76:7",0,3,"24:0|26:1|26:6"
"76:4",0,3,"24:0|26:2|26:2"
"76:7",0,3,"24:0|26:2|26:5"
"76:8",0,3,"24:0|26:2|26:6"
"76:7",0,3,"24:0|26:3|26:4"
"76:8",0,3,"24:0|26:3|26:5"
"76:9",0,3,"24:0|26:3|26:6"
"76:8",0,3,"24:0|26:4|26:4"
"76:9",0,3,"24:0|26:4|26:5"
"76:1",0,3,"24:1|26:0|26:0"
"76:2",0,3,"24:1|26:0|26:1"
"76:3",0,3,"24:1|26:0|26:2"
"76:4",0,3,"24:1|26:0|26:3"
"76:7",0,3,"24:1|26:0|26:6"
"76:3",0,3,"24:1|26:1|26:1"
"76:4",0,3,"24:1|26:1|26:2"
"76:7",0,3,"24:1|26:1|26:5"
"76:8",0,3,"24:1|26:1|26:6"
"76:7",0,3,"24:1|26:2|26:4"
"76:8",0,3,"24:1|26:2|26:5"
"76:9",0,3,"24:1|26:2|26:6"
"76:7",0,3,"24:1|26:3|26:3"
"76:8",0,3,"24:1|26:3|26:4"
"76:9",0,3,"24:1|26:3|26:5"
"76:9",0,3,"24:1|26:4|26:4"
"76:13",0,3,"24:1|26:6|26:6"
