CE(14:0)	LION:0000000
CL(16:1/20:0/20:0/26:2)	LION:0032271
CL(16:1/20:0/20:1/26:1)	LION:0032272
CL(16:1/20:0/22:0/24:2)	LION:0032274
CL(16:1/20:0/22:1/24:1)	LION:0032275
CL(16:1/20:1/20:1/26:0)	LION:0032277
CL(16:1/20:1/22:0/24:1)	LION:0032278
CL(16:1/20:1/22:1/24:0)	LION:0032279
CL(16:1/22:0/22:1/22:1)	LION:0032282
CL(18:0/18:0/20:0/26:3)	LION:0032283
CL(18:0/18:0/20:1/26:2)	LION:0032284
CL(18:0/18:0/20:3/26:0)	LION:0032286
CL(18:0/18:0/22:0/24:3)	LION:0032287
CL(18:0/18:0/22:1/24:2)	LION:0032288
CL(18:0/18:1/20:0/26:2)	LION:0032291
CL(18:0/18:1/20:1/26:1)	LION:0032292
CL(18:0/18:1/22:0/24:2)	LION:0032294
CL(18:0/18:1/22:1/24:1)	LION:0032295
CL(18:0/18:2/20:0/26:1)	LION:0032297
CL(18:0/18:2/20:1/26:0)	LION:0032298
CL(18:0/18:2/22:0/24:1)	LION:0032299
CL(18:0/18:2/22:1/24:0)	LION:0032300
CL(18:0/18:3/20:0/26:0)	LION:0032301
CL(18:0/18:3/22:0/24:0)	LION:0032302
CL(18:0/20:0/20:0/24:3)	LION:0032303
CL(18:0/20:0/20:1/24:2)	LION:0032304
CL(18:0/20:0/20:3/24:0)	LION:0032306
CL(18:0/20:1/20:1/24:1)	LION:0032309
CL(18:0/20:1/22:1/22:1)	LION:0032312
CL(18:0/20:3/22:0/22:0)	LION:0032314
CL(18:1/18:1/20:0/26:1)	LION:0032315
CL(18:1/18:1/20:1/26:0)	LION:0032316
CL(18:1/18:1/22:0/24:1)	LION:0032317
CL(18:1/18:1/22:1/24:0)	LION:0032318
CL(18:1/18:2/20:0/26:0)	LION:0032319
CL(18:1/18:2/22:0/24:0)	LION:0032320
CL(18:1/20:0/20:0/24:2)	LION:0032321
CL(18:1/20:0/20:1/24:1)	LION:0032322
CL(18:1/20:0/22:1/22:1)	LION:0032325
CL(18:1/20:1/20:1/24:0)	LION:0032326
CL(18:1/20:1/22:0/22:1)	LION:0032327
CL(18:2/20:0/20:0/24:1)	LION:0032329
CL(18:2/20:0/20:1/24:0)	LION:0032330
CL(18:2/20:0/22:0/22:1)	LION:0032331
CL(18:2/20:1/22:0/22:0)	LION:0032332
CL(18:3/20:0/20:0/24:0)	LION:0032333
CL(18:3/20:0/22:0/22:0)	LION:0032334
CL(20:0/20:0/20:3/22:0)	LION:0032338
CL(20:0/20:1/20:1/22:1)	LION:0032339
CL(20:1/20:1/20:1/22:0)	LION:0032341
CL(14:0/16:0/26:0/26:4)	LION:0032383
CL(14:0/16:0/26:1/26:3)	LION:0032384
CL(14:0/16:0/26:2/26:2)	LION:0032385
CL(14:0/16:1/26:0/26:3)	LION:0032386
CL(14:0/16:1/26:1/26:2)	LION:0032387
CL(14:0/18:0/24:0/26:4)	LION:0032388
CL(14:0/18:0/24:1/26:3)	LION:0032389
CL(14:0/18:0/24:2/26:2)	LION:0032390
CL(14:0/18:0/24:3/26:1)	LION:0032391
CL(14:0/18:0/24:4/26:0)	LION:0032392
CL(14:0/18:1/24:0/26:3)	LION:0032393
CL(14:0/18:1/24:1/26:2)	LION:0032394
CL(14:0/18:1/24:2/26:1)	LION:0032395
CL(14:0/18:1/24:3/26:0)	LION:0032396
CL(14:0/18:2/24:0/26:2)	LION:0032397
CL(14:0/18:2/24:1/26:1)	LION:0032398
CL(14:0/18:2/24:2/26:0)	LION:0032399
CL(14:0/18:3/24:0/26:1)	LION:0032400
CL(14:0/18:3/24:1/26:0)	LION:0032401
CL(14:0/20:0/22:0/26:4)	LION:0032402
CL(14:0/20:0/22:1/26:3)	LION:0032403
CL(14:0/20:0/22:4/26:0)	LION:0032406
CL(14:0/20:0/24:0/24:4)	LION:0032407
CL(14:0/20:0/24:1/24:3)	LION:0032408
CL(14:0/20:0/24:2/24:2)	LION:0032409
CL(14:0/20:1/22:0/26:3)	LION:0032410
CL(14:0/20:1/22:1/26:2)	LION:0032411
CL(14:0/20:1/24:0/24:3)	LION:0032414
CL(14:0/20:1/24:1/24:2)	LION:0032415
CL(14:0/20:3/22:0/26:1)	LION:0032421
CL(14:0/20:3/22:1/26:0)	LION:0032422
CL(14:0/20:3/24:0/24:1)	LION:0032423
CL(14:0/20:4/22:0/26:0)	LION:0032424
CL(14:0/20:4/24:0/24:0)	LION:0032425
CL(14:0/22:0/22:0/24:4)	LION:0032426
CL(14:0/22:0/22:1/24:3)	LION:0032427
CL(14:0/22:0/22:4/24:0)	LION:0032430
CL(14:0/22:1/22:1/24:2)	LION:0032431
CL(16:0/16:0/24:0/26:4)	LION:0032435
CL(16:0/16:0/24:1/26:3)	LION:0032436
CL(16:0/16:0/24:2/26:2)	LION:0032437
CL(16:0/16:0/24:3/26:1)	LION:0032438
CL(16:0/16:0/24:4/26:0)	LION:0032439
CL(16:0/16:1/24:0/26:3)	LION:0032440
CL(16:0/16:1/24:1/26:2)	LION:0032441
CL(16:0/16:1/24:2/26:1)	LION:0032442
CL(16:0/16:1/24:3/26:0)	LION:0032443
CL(16:0/18:0/22:0/26:4)	LION:0032444
CL(16:0/18:0/22:1/26:3)	LION:0032445
CL(16:0/18:0/22:4/26:0)	LION:0032448
CL(16:0/18:0/24:0/24:4)	LION:0032449
CL(16:0/18:0/24:1/24:3)	LION:0032450
CL(16:0/18:0/24:2/24:2)	LION:0032451
CL(16:0/18:1/22:0/26:3)	LION:0032452
CL(16:0/18:1/22:1/26:2)	LION:0032453
CL(16:0/18:1/24:0/24:3)	LION:0032456
CL(16:0/18:1/24:1/24:2)	LION:0032457
CL(16:0/18:2/22:0/26:2)	LION:0032458
CL(16:0/18:2/22:1/26:1)	LION:0032459
CL(16:0/18:2/24:0/24:2)	LION:0032461
CL(16:0/18:2/24:1/24:1)	LION:0032462
CL(16:0/18:3/22:0/26:1)	LION:0032463
CL(16:0/18:3/22:1/26:0)	LION:0032464
CL(16:0/18:3/24:0/24:1)	LION:0032465
CL(16:0/20:0/20:0/26:4)	LION:0032466
CL(16:0/20:0/20:1/26:3)	LION:0032467
CL(16:0/20:0/20:3/26:1)	LION:0032469
CL(16:0/20:0/20:4/26:0)	LION:0032470
CL(16:0/20:0/22:0/24:4)	LION:0032471
CL(16:0/20:0/22:1/24:3)	LION:0032472
CL(16:0/20:0/22:4/24:0)	LION:0032475
CL(16:0/20:1/20:1/26:2)	LION:0032476
CL(16:0/20:1/20:3/26:0)	LION:0032478
CL(16:0/20:1/22:0/24:3)	LION:0032479
CL(16:0/20:1/22:1/24:2)	LION:0032480
CL(16:0/20:3/22:0/24:1)	LION:0032487
CL(16:0/20:3/22:1/24:0)	LION:0032488
CL(16:0/20:4/22:0/24:0)	LION:0032489
CL(16:0/22:0/22:0/22:4)	LION:0032490
CL(16:1/16:1/24:0/26:2)	LION:0032494
CL(16:1/16:1/24:1/26:1)	LION:0032495
CL(16:1/16:1/24:2/26:0)	LION:0032496
CL(16:1/18:0/22:0/26:3)	LION:0032497
CL(16:1/18:0/22:1/26:2)	LION:0032498
CL(16:1/18:0/24:0/24:3)	LION:0032501
CL(16:1/18:0/24:1/24:2)	LION:0032502
CL(16:1/18:1/22:0/26:2)	LION:0032503
CL(16:1/18:1/22:1/26:1)	LION:0032504
CL(16:1/18:1/24:0/24:2)	LION:0032506
CL(16:1/18:1/24:1/24:1)	LION:0032507
CL(16:1/18:2/22:0/26:1)	LION:0032508
CL(16:1/18:2/22:1/26:0)	LION:0032509
CL(16:1/18:2/24:0/24:1)	LION:0032510
CL(16:1/18:3/22:0/26:0)	LION:0032511
CL(16:1/18:3/24:0/24:0)	LION:0032512
CL(16:1/20:0/20:0/26:3)	LION:0032513
CL(16:1/20:0/20:1/26:2)	LION:0032514
CL(16:1/20:0/20:3/26:0)	LION:0032516
CL(16:1/20:0/22:0/24:3)	LION:0032517
CL(16:1/20:0/22:1/24:2)	LION:0032518
CL(16:1/20:1/20:1/26:1)	LION:0032521
CL(16:1/20:1/22:0/24:2)	LION:0032523
CL(16:1/20:1/22:1/24:1)	LION:0032524
CL(16:1/20:3/22:0/24:0)	LION:0032528
CL(16:1/22:1/22:1/22:1)	LION:0032531
CL(18:0/18:0/20:0/26:4)	LION:0032532
CL(18:0/18:0/20:1/26:3)	LION:0032533
CL(18:0/18:0/20:3/26:1)	LION:0032535
CL(18:0/18:0/20:4/26:0)	LION:0032536
CL(18:0/18:0/22:0/24:4)	LION:0032537
CL(18:0/18:0/22:1/24:3)	LION:0032538
CL(18:0/18:0/22:4/24:0)	LION:0032541
CL(18:0/18:1/20:0/26:3)	LION:0032542
CL(18:0/18:1/20:1/26:2)	LION:0032543
CL(18:0/18:1/20:3/26:0)	LION:0032545
CL(18:0/18:1/22:0/24:3)	LION:0032546
CL(18:0/18:1/22:1/24:2)	LION:0032547
CL(18:0/18:2/20:0/26:2)	LION:0032550
CL(18:0/18:2/20:1/26:1)	LION:0032551
CL(18:0/18:2/22:0/24:2)	LION:0032553
CL(18:0/18:2/22:1/24:1)	LION:0032554
CL(18:0/18:3/20:0/26:1)	LION:0032556
CL(18:0/18:3/20:1/26:0)	LION:0032557
CL(18:0/18:3/22:0/24:1)	LION:0032558
CL(18:0/18:3/22:1/24:0)	LION:0032559
CL(18:0/20:0/20:0/24:4)	LION:0032560
CL(18:0/20:0/20:1/24:3)	LION:0032561
CL(18:0/20:0/20:3/24:1)	LION:0032563
CL(18:0/20:0/20:4/24:0)	LION:0032564
CL(18:0/20:0/22:0/22:4)	LION:0032565
CL(18:0/20:1/20:1/24:2)	LION:0032568
CL(18:0/20:1/20:3/24:0)	LION:0032570
CL(18:0/20:3/22:0/22:1)	LION:0032576
CL(18:0/20:4/22:0/22:0)	LION:0032577
CL(18:1/18:1/20:0/26:2)	LION:0032578
CL(18:1/18:1/20:1/26:1)	LION:0032579
CL(18:1/18:1/22:0/24:2)	LION:0032581
CL(18:1/18:1/22:1/24:1)	LION:0032582
CL(18:1/18:2/20:0/26:1)	LION:0032584
CL(18:1/18:2/20:1/26:0)	LION:0032585
CL(18:1/18:2/22:0/24:1)	LION:0032586
CL(18:1/18:2/22:1/24:0)	LION:0032587
CL(18:1/18:3/20:0/26:0)	LION:0032588
CL(18:1/18:3/22:0/24:0)	LION:0032589
CL(18:1/20:0/20:0/24:3)	LION:0032590
CL(18:1/20:0/20:1/24:2)	LION:0032591
CL(18:1/20:0/20:3/24:0)	LION:0032593
CL(18:1/20:1/20:1/24:1)	LION:0032596
CL(18:1/20:1/22:1/22:1)	LION:0032599
CL(18:1/20:3/22:0/22:0)	LION:0032601
CL(18:2/18:2/20:0/26:0)	LION:0032602
CL(18:2/18:2/22:0/24:0)	LION:0032603
CL(18:2/20:0/20:0/24:2)	LION:0032604
CL(18:2/20:0/20:1/24:1)	LION:0032605
CL(18:2/20:0/22:1/22:1)	LION:0032608
CL(18:2/20:1/20:1/24:0)	LION:0032609
CL(18:2/20:1/22:0/22:1)	LION:0032610
CL(18:3/20:0/20:0/24:1)	LION:0032612
CL(18:3/20:0/20:1/24:0)	LION:0032613
CL(18:3/20:0/22:0/22:1)	LION:0032614
CL(18:3/20:1/22:0/22:0)	LION:0032615
CL(20:0/20:0/20:0/22:4)	LION:0032616
CL(20:0/20:0/20:3/22:1)	LION:0032619
CL(20:0/20:0/20:4/22:0)	LION:0032620
CL(20:0/20:1/20:3/22:0)	LION:0032623
CL(20:1/20:1/20:1/22:1)	LION:0032625
CL(14:0/16:0/26:0/26:5)	LION:0032682
CL(14:0/16:0/26:1/26:4)	LION:0032683
CL(14:0/16:0/26:2/26:3)	LION:0032684
CL(14:0/16:1/26:0/26:4)	LION:0032685
CL(14:0/16:1/26:1/26:3)	LION:0032686
CL(14:0/16:1/26:2/26:2)	LION:0032687
CL(14:0/18:0/24:0/26:5)	LION:0032688
CL(14:0/18:0/24:1/26:4)	LION:0032689
CL(14:0/18:0/24:2/26:3)	LION:0032690
CL(14:0/18:0/24:3/26:2)	LION:0032691
CL(14:0/18:0/24:4/26:1)	LION:0032692
CL(14:0/18:0/24:5/26:0)	LION:0032693
CL(14:0/18:1/24:0/26:4)	LION:0032694
CL(14:0/18:1/24:1/26:3)	LION:0032695
CL(14:0/18:1/24:2/26:2)	LION:0032696
CL(14:0/18:1/24:3/26:1)	LION:0032697
CL(14:0/18:1/24:4/26:0)	LION:0032698
CL(14:0/18:2/24:0/26:3)	LION:0032699
CL(14:0/18:2/24:1/26:2)	LION:0032700
CL(14:0/18:2/24:2/26:1)	LION:0032701
CL(14:0/18:2/24:3/26:0)	LION:0032702
CL(14:0/18:3/24:0/26:2)	LION:0032703
CL(14:0/18:3/24:1/26:1)	LION:0032704
CL(14:0/18:3/24:2/26:0)	LION:0032705
CL(14:0/20:0/22:0/26:5)	LION:0032706
CL(14:0/20:0/22:1/26:4)	LION:0032707
CL(14:0/20:0/22:4/26:1)	LION:0032710
CL(14:0/20:0/22:5/26:0)	LION:0032711
CL(14:0/20:0/24:0/24:5)	LION:0032712
CL(14:0/20:0/24:1/24:4)	LION:0032713
CL(14:0/20:0/24:2/24:3)	LION:0032714
CL(14:0/20:1/22:0/26:4)	LION:0032715
CL(14:0/20:1/22:1/26:3)	LION:0032716
CL(14:0/20:1/22:4/26:0)	LION:0032719
CL(14:0/20:1/24:0/24:4)	LION:0032720
CL(14:0/20:1/24:1/24:3)	LION:0032721
CL(14:0/20:1/24:2/24:2)	LION:0032722
CL(14:0/20:3/22:0/26:2)	LION:0032729
CL(14:0/20:3/22:1/26:1)	LION:0032730
CL(14:0/20:3/24:0/24:2)	LION:0032732
CL(14:0/20:3/24:1/24:1)	LION:0032733
CL(14:0/20:4/22:0/26:1)	LION:0032734
CL(14:0/20:4/22:1/26:0)	LION:0032735
CL(14:0/20:4/24:0/24:1)	LION:0032736
CL(14:0/20:5/22:0/26:0)	LION:0032737
CL(14:0/20:5/24:0/24:0)	LION:0032738
CL(14:0/22:0/22:0/24:5)	LION:0032739
CL(14:0/22:0/22:1/24:4)	LION:0032740
CL(14:0/22:0/22:4/24:1)	LION:0032743
CL(14:0/22:0/22:5/24:0)	LION:0032744
CL(14:0/22:1/22:1/24:3)	LION:0032745
CL(14:0/22:1/22:4/24:0)	LION:0032748
CL(16:0/16:0/24:0/26:5)	LION:0032751
CL(16:0/16:0/24:1/26:4)	LION:0032752
CL(16:0/16:0/24:2/26:3)	LION:0032753
CL(16:0/16:0/24:3/26:2)	LION:0032754
CL(16:0/16:0/24:4/26:1)	LION:0032755
CL(16:0/16:0/24:5/26:0)	LION:0032756
CL(16:0/16:1/24:0/26:4)	LION:0032757
CL(16:0/16:1/24:1/26:3)	LION:0032758
CL(16:0/16:1/24:2/26:2)	LION:0032759
CL(16:0/16:1/24:3/26:1)	LION:0032760
CL(16:0/16:1/24:4/26:0)	LION:0032761
CL(16:0/18:0/22:0/26:5)	LION:0032762
CL(16:0/18:0/22:1/26:4)	LION:0032763
CL(16:0/18:0/22:4/26:1)	LION:0032766
CL(16:0/18:0/22:5/26:0)	LION:0032767
CL(16:0/18:0/24:0/24:5)	LION:0032768
CL(16:0/18:0/24:1/24:4)	LION:0032769
CL(16:0/18:0/24:2/24:3)	LION:0032770
CL(16:0/18:1/22:0/26:4)	LION:0032771
CL(16:0/18:1/22:1/26:3)	LION:0032772
CL(16:0/18:1/22:4/26:0)	LION:0032775
CL(16:0/18:1/24:0/24:4)	LION:0032776
CL(16:0/18:1/24:1/24:3)	LION:0032777
CL(16:0/18:1/24:2/24:2)	LION:0032778
CL(16:0/18:2/22:0/26:3)	LION:0032779
CL(16:0/18:2/22:1/26:2)	LION:0032780
CL(16:0/18:2/24:0/24:3)	LION:0032783
CL(16:0/18:2/24:1/24:2)	LION:0032784
CL(16:0/18:3/22:0/26:2)	LION:0032785
CL(16:0/18:3/22:1/26:1)	LION:0032786
CL(16:0/18:3/24:0/24:2)	LION:0032788
CL(16:0/18:3/24:1/24:1)	LION:0032789
CL(16:0/20:0/20:0/26:5)	LION:0032790
CL(16:0/20:0/20:1/26:4)	LION:0032791
CL(16:0/20:0/20:3/26:2)	LION:0032793
CL(16:0/20:0/20:4/26:1)	LION:0032794
CL(16:0/20:0/20:5/26:0)	LION:0032795
CL(16:0/20:0/22:0/24:5)	LION:0032796
CL(16:0/20:0/22:1/24:4)	LION:0032797
CL(16:0/20:0/22:4/24:1)	LION:0032800
CL(16:0/20:0/22:5/24:0)	LION:0032801
CL(16:0/20:1/20:1/26:3)	LION:0032802
CL(16:0/20:1/20:3/26:1)	LION:0032804
CL(16:0/20:1/20:4/26:0)	LION:0032805
CL(16:0/20:1/22:0/24:4)	LION:0032806
CL(16:0/20:1/22:1/24:3)	LION:0032807
CL(16:0/20:1/22:4/24:0)	LION:0032810
CL(16:0/20:3/22:0/24:2)	LION:0032817
CL(16:0/20:3/22:1/24:1)	LION:0032818
CL(16:0/20:4/22:0/24:1)	LION:0032820
CL(16:0/20:4/22:1/24:0)	LION:0032821
CL(16:0/20:5/22:0/24:0)	LION:0032822
CL(16:0/22:0/22:0/22:5)	LION:0032823
CL(16:0/22:0/22:1/22:4)	LION:0032824
CL(16:1/16:1/24:0/26:3)	LION:0032828
CL(16:1/16:1/24:1/26:2)	LION:0032829
CL(16:1/16:1/24:2/26:1)	LION:0032830
CL(16:1/16:1/24:3/26:0)	LION:0032831
CL(16:1/18:0/22:0/26:4)	LION:0032832
CL(16:1/18:0/22:1/26:3)	LION:0032833
CL(16:1/18:0/22:4/26:0)	LION:0032836
CL(16:1/18:0/24:0/24:4)	LION:0032837
CL(16:1/18:0/24:1/24:3)	LION:0032838
CL(16:1/18:0/24:2/24:2)	LION:0032839
CL(16:1/18:1/22:0/26:3)	LION:0032840
CL(16:1/18:1/22:1/26:2)	LION:0032841
CL(16:1/18:1/24:0/24:3)	LION:0032844
CL(16:1/18:1/24:1/24:2)	LION:0032845
CL(16:1/18:2/22:0/26:2)	LION:0032846
CL(16:1/18:2/22:1/26:1)	LION:0032847
CL(16:1/18:2/24:0/24:2)	LION:0032849
CL(16:1/18:2/24:1/24:1)	LION:0032850
CL(16:1/18:3/22:0/26:1)	LION:0032851
CL(16:1/18:3/22:1/26:0)	LION:0032852
CL(16:1/18:3/24:0/24:1)	LION:0032853
CL(16:1/20:0/20:0/26:4)	LION:0032854
CL(16:1/20:0/20:1/26:3)	LION:0032855
CL(16:1/20:0/20:3/26:1)	LION:0032857
CL(16:1/20:0/20:4/26:0)	LION:0032858
CL(16:1/20:0/22:0/24:4)	LION:0032859
CL(16:1/20:0/22:1/24:3)	LION:0032860
CL(16:1/20:0/22:4/24:0)	LION:0032863
CL(16:1/20:1/20:1/26:2)	LION:0032864
CL(16:1/20:1/20:3/26:0)	LION:0032866
CL(16:1/20:1/22:0/24:3)	LION:0032867
CL(16:1/20:1/22:1/24:2)	LION:0032868
CL(16:1/20:3/22:0/24:1)	LION:0032875
CL(16:1/20:3/22:1/24:0)	LION:0032876
CL(16:1/20:4/22:0/24:0)	LION:0032877
CL(16:1/22:0/22:0/22:4)	LION:0032878
CL(18:0/18:0/20:0/26:5)	LION:0032882
CL(18:0/18:0/20:1/26:4)	LION:0032883
CL(18:0/18:0/20:3/26:2)	LION:0032885
CL(18:0/18:0/20:4/26:1)	LION:0032886
CL(18:0/18:0/20:5/26:0)	LION:0032887
CL(18:0/18:0/22:0/24:5)	LION:0032888
CL(18:0/18:0/22:1/24:4)	LION:0032889
CL(18:0/18:0/22:4/24:1)	LION:0032892
CL(18:0/18:0/22:5/24:0)	LION:0032893
CL(18:0/18:1/20:0/26:4)	LION:0032894
CL(18:0/18:1/20:1/26:3)	LION:0032895
CL(18:0/18:1/20:3/26:1)	LION:0032897
CL(18:0/18:1/20:4/26:0)	LION:0032898
CL(18:0/18:1/22:0/24:4)	LION:0032899
CL(18:0/18:1/22:1/24:3)	LION:0032900
CL(18:0/18:1/22:4/24:0)	LION:0032903
CL(18:0/18:2/20:0/26:3)	LION:0032904
CL(18:0/18:2/20:1/26:2)	LION:0032905
CL(18:0/18:2/20:3/26:0)	LION:0032907
CL(18:0/18:2/22:0/24:3)	LION:0032908
CL(18:0/18:2/22:1/24:2)	LION:0032909
CL(18:0/18:3/20:0/26:2)	LION:0032912
CL(18:0/18:3/20:1/26:1)	LION:0032913
CL(18:0/18:3/22:0/24:2)	LION:0032915
CL(18:0/18:3/22:1/24:1)	LION:0032916
CL(18:0/20:0/20:0/24:5)	LION:0032918
CL(18:0/20:0/20:1/24:4)	LION:0032919
CL(18:0/20:0/20:3/24:2)	LION:0032921
CL(18:0/20:0/20:4/24:1)	LION:0032922
CL(18:0/20:0/20:5/24:0)	LION:0032923
CL(18:0/20:0/22:0/22:5)	LION:0032924
CL(18:0/20:0/22:1/22:4)	LION:0032925
CL(18:0/20:1/20:1/24:3)	LION:0032927
CL(18:0/20:1/20:3/24:1)	LION:0032929
CL(18:0/20:1/20:4/24:0)	LION:0032930
CL(18:0/20:1/22:0/22:4)	LION:0032931
CL(18:0/20:3/22:1/22:1)	LION:0032939
CL(18:0/20:4/22:0/22:1)	LION:0032940
CL(18:0/20:5/22:0/22:0)	LION:0032941
CL(18:1/18:1/20:0/26:3)	LION:0032942
CL(18:1/18:1/20:1/26:2)	LION:0032943
CL(18:1/18:1/20:3/26:0)	LION:0032945
CL(18:1/18:1/22:0/24:3)	LION:0032946
CL(18:1/18:1/22:1/24:2)	LION:0032947
CL(18:1/18:2/20:0/26:2)	LION:0032950
CL(18:1/18:2/20:1/26:1)	LION:0032951
CL(18:1/18:2/22:0/24:2)	LION:0032953
CL(18:1/18:2/22:1/24:1)	LION:0032954
CL(18:1/18:3/20:0/26:1)	LION:0032956
CL(18:1/18:3/20:1/26:0)	LION:0032957
CL(18:1/18:3/22:0/24:1)	LION:0032958
CL(18:1/18:3/22:1/24:0)	LION:0032959
CL(18:1/20:0/20:0/24:4)	LION:0032960
CL(18:1/20:0/20:1/24:3)	LION:0032961
CL(18:1/20:0/20:3/24:1)	LION:0032963
CL(18:1/20:0/20:4/24:0)	LION:0032964
CL(18:1/20:0/22:0/22:4)	LION:0032965
CL(18:1/20:1/20:1/24:2)	LION:0032968
CL(18:1/20:1/20:3/24:0)	LION:0032970
CL(18:1/20:3/22:0/22:1)	LION:0032976
CL(18:1/20:4/22:0/22:0)	LION:0032977
CL(18:2/18:2/20:0/26:1)	LION:0032978
CL(18:2/18:2/20:1/26:0)	LION:0032979
CL(18:2/18:2/22:0/24:1)	LION:0032980
CL(18:2/18:2/22:1/24:0)	LION:0032981
CL(18:2/18:3/20:0/26:0)	LION:0032982
CL(18:2/18:3/22:0/24:0)	LION:0032983
CL(18:2/20:0/20:0/24:3)	LION:0032984
CL(18:2/20:0/20:1/24:2)	LION:0032985
CL(18:2/20:0/20:3/24:0)	LION:0032987
CL(18:2/20:1/20:1/24:1)	LION:0032990
CL(18:2/20:1/22:1/22:1)	LION:0032993
CL(18:2/20:3/22:0/22:0)	LION:0032995
CL(18:3/20:0/20:0/24:2)	LION:0032996
CL(18:3/20:0/20:1/24:1)	LION:0032997
CL(18:3/20:0/22:1/22:1)	LION:0033000
CL(18:3/20:1/20:1/24:0)	LION:0033001
CL(18:3/20:1/22:0/22:1)	LION:0033002
CL(20:0/20:0/20:0/22:5)	LION:0033004
CL(20:0/20:0/20:1/22:4)	LION:0033005
CL(20:0/20:0/20:4/22:1)	LION:0033008
CL(20:0/20:0/20:5/22:0)	LION:0033009
CL(20:0/20:1/20:3/22:1)	LION:0033012
CL(20:0/20:1/20:4/22:0)	LION:0033013
CL(20:1/20:1/20:3/22:0)	LION:0033018
CL(14:0/16:0/26:0/26:6)	LION:0033092
CL(14:0/16:0/26:1/26:5)	LION:0033093
CL(14:0/16:0/26:2/26:4)	LION:0033094
CL(14:0/16:0/26:3/26:3)	LION:0033095
CL(14:0/16:1/26:0/26:5)	LION:0033096
CL(14:0/16:1/26:1/26:4)	LION:0033097
CL(14:0/16:1/26:2/26:3)	LION:0033098
CL(14:0/18:0/24:0/26:6)	LION:0033099
CL(14:0/18:0/24:1/26:5)	LION:0033100
CL(14:0/18:0/24:2/26:4)	LION:0033101
CL(14:0/18:0/24:3/26:3)	LION:0033102
CL(14:0/18:0/24:4/26:2)	LION:0033103
CL(14:0/18:0/24:5/26:1)	LION:0033104
CL(14:0/18:0/24:6/26:0)	LION:0033105
CL(14:0/18:1/24:0/26:5)	LION:0033106
CL(14:0/18:1/24:1/26:4)	LION:0033107
CL(14:0/18:1/24:2/26:3)	LION:0033108
CL(14:0/18:1/24:3/26:2)	LION:0033109
CL(14:0/18:1/24:4/26:1)	LION:0033110
CL(14:0/18:1/24:5/26:0)	LION:0033111
CL(14:0/18:2/24:0/26:4)	LION:0033112
CL(14:0/18:2/24:1/26:3)	LION:0033113
CL(14:0/18:2/24:2/26:2)	LION:0033114
CL(14:0/18:2/24:3/26:1)	LION:0033115
CL(14:0/18:2/24:4/26:0)	LION:0033116
CL(14:0/18:3/24:0/26:3)	LION:0033117
CL(14:0/18:3/24:1/26:2)	LION:0033118
CL(14:0/18:3/24:2/26:1)	LION:0033119
CL(14:0/18:3/24:3/26:0)	LION:0033120
CL(14:0/20:0/22:0/26:6)	LION:0033121
CL(14:0/20:0/22:1/26:5)	LION:0033122
CL(14:0/20:0/22:4/26:2)	LION:0033125
CL(14:0/20:0/22:5/26:1)	LION:0033126
CL(14:0/20:0/22:6/26:0)	LION:0033127
CL(14:0/20:0/24:0/24:6)	LION:0033128
CL(14:0/20:0/24:1/24:5)	LION:0033129
CL(14:0/20:0/24:2/24:4)	LION:0033130
CL(14:0/20:0/24:3/24:3)	LION:0033131
CL(14:0/20:1/22:0/26:5)	LION:0033132
CL(14:0/20:1/22:1/26:4)	LION:0033133
CL(14:0/20:1/22:4/26:1)	LION:0033136
CL(14:0/20:1/22:5/26:0)	LION:0033137
CL(14:0/20:1/24:0/24:5)	LION:0033138
CL(14:0/20:1/24:1/24:4)	LION:0033139
CL(14:0/20:1/24:2/24:3)	LION:0033140
CL(14:0/20:3/22:0/26:3)	LION:0033149
CL(14:0/20:3/22:1/26:2)	LION:0033150
CL(14:0/20:3/24:0/24:3)	LION:0033153
CL(14:0/20:3/24:1/24:2)	LION:0033154
CL(14:0/20:4/22:0/26:2)	LION:0033155
CL(14:0/20:4/22:1/26:1)	LION:0033156
CL(14:0/20:4/24:0/24:2)	LION:0033158
CL(14:0/20:4/24:1/24:1)	LION:0033159
CL(14:0/20:5/22:0/26:1)	LION:0033160
CL(14:0/20:5/22:1/26:0)	LION:0033161
CL(14:0/20:5/24:0/24:1)	LION:0033162
CL(14:0/22:0/22:0/24:6)	LION:0033163
CL(14:0/22:0/22:1/24:5)	LION:0033164
CL(14:0/22:0/22:4/24:2)	LION:0033167
CL(14:0/22:0/22:5/24:1)	LION:0033168
CL(14:0/22:0/22:6/24:0)	LION:0033169
CL(14:0/22:1/22:1/24:4)	LION:0033170
CL(14:0/22:1/22:4/24:1)	LION:0033173
CL(14:0/22:1/22:5/24:0)	LION:0033174
CL(16:0/16:0/24:0/26:6)	LION:0033179
CL(16:0/16:0/24:1/26:5)	LION:0033180
CL(16:0/16:0/24:2/26:4)	LION:0033181
CL(16:0/16:0/24:3/26:3)	LION:0033182
CL(16:0/16:0/24:4/26:2)	LION:0033183
CL(16:0/16:0/24:5/26:1)	LION:0033184
CL(16:0/16:0/24:6/26:0)	LION:0033185
CL(16:0/16:1/24:0/26:5)	LION:0033186
CL(16:0/16:1/24:1/26:4)	LION:0033187
CL(16:0/16:1/24:2/26:3)	LION:0033188
CL(16:0/16:1/24:3/26:2)	LION:0033189
